videoid, locationurl , filesize,,
6000, NASAConnect-AheadAboveTheClouds.mpg ,1.19,,
6006, NASAConnect-BetterHealthFromSpaceToEarth.mpg ,1.19,,
6014, NASAConnect-DancingInTheNightSky.mpg ,1.19,,
6020, NASAConnect-GeometryAndAlgebra-GlowWithTheFlow.mpg ,1.19,,
6027, NASAConnect-GeometryOfExploration-EyesOverMars.mpg ,1.19,,
6034, NASAConnect-PersonalSatelliteAssistant-TheAstronautsHelper.mpg ,1.2,,
6041, NASAConnect-ShapesOfFlight.mpg ,1277.76,,
6048, NASAConnect-VirtualEarth.mpg ,1227.99,,
6055, NASAConnect-Proportionality-TheXPlaneGeneration.mpg ,1227.73,,
6063, NASAConnect-TheVenusTransit.mpg ,1230.98,,
6070, NASAConnect-WhoAddedTheMicroToGravity.mpg ,1226.84,,
6077, NASAConnect-FestivalOfFlight.mpg ,1227.68,,
6082, NASAConnect-GeometryOfExplorationWaterBelowTheSurfaceOfMars.mpg ,1226.6,,
6089, NASAConnect-MeasurementRatiosAndGraphing-SafetyFirst.mpg ,1228.49,,
6095, NASAConnect-MirrorMirrorOnTheUniverse.mpg ,1227.3,,
6102, NASAConnect-PlaneWeather.mpg ,1.23,,
6108, NASAConnect-RecipesForTheFuture.mpg ,1.18,,
6114, NASAConnect-TheMeasurementOfAllThingsAtmosphericDetectives.mpg ,1224.03,,
6122, NASAConnect-ToolsOfTheAeronauticTrade.mpg ,1228.02,,
6128, NASAConnect-WhereverYouGoThereYouAre.mpg ,1308.32,,
6136, NASAConnect-WorldSpaceCongress.mpg ,1227.56,,
6137, NASADT5.mpg ,1230.14,,
6143, NASADT6.mpg ,1230.51,,
6149, NASADT10.mpg ,1229.48,,
6155, NASADT11.mpg ,1230.43,,
6161, NASAWF-TheCaseOfTheBarkingDogs.mpg ,2437.19,,
6162, NASAWF-AnalyzingAndCollectingData.mpg ,89.91,,
6163, NASAWF-HighFrequencyNoises.mpg ,63.02,,
6164, NASAWF-HowTheEarWorks.mpg ,40.64,,
6165, NASAWF-MoreFrequencyAndSoundTravel.mpg ,136.13,,
6166, NASAWF-SonicBoom.mpg ,73.46,,
6167, NASAWF-SoundOverDistance.mpg ,274.36,,
6168, NASAWF-SoundWavesAndFrequency.mpg ,97.35,,
6169, NASAWF-TheScientificMethod.mpg ,145.98,,
6170, NASAWF-WhatWeAndDogsHear.mpg ,182.34,,
6171, NASASF-TheBiologicalBiosphere.mpg ,2524.12,,
6172, NASASF-AstronautFitness.mpg ,103.13,,
6173, NASASF-Bacteria.mpg ,135.93,,
6174, NASASF-BodilyProtectiveFunctions.mpg ,190.52,,
6175, NASASF-BodySystems.mpg ,58.96,,
6176, NASASF-CellsTissuesOrgansAndSystems.mpg ,138.2,,
6177, NASASF-ImmuneSystem.mpg ,140.28,,
6178, NASASF-InfectiousDiseases.mpg ,151.46,,
6179, NASASF-MicrobialCultures.mpg ,160.4,,
6180, NASASF-Quarantine.mpg ,87.85,,
6181, NASASF-SicknessInSpace.mpg ,112.42,,
6182, NASASF-SimulatedEpidemic.mpg ,101.28,,
6183, NASAWF-TheCaseOfTheChallengingFlight.mpg ,2515.24,,
6184, NASAWF-AerospaceEngineering.mpg ,142.3,,
6185, NASAWF-AirplaneDesign.mpg ,137.07,,
6186, NASAWF-AviationHistory.mpg ,64.56,,
6187, NASAWF-DragAndBiomimetics.mpg ,141.94,,
6188, NASAWF-FlightMaterials.mpg ,136.85,,
6189, NASAWF-FlyingAPlane.mpg ,82.78,,
6190, NASAWF-HowThingsFly.mpg ,96.3,,
6191, NASAWF-LaunchCatapult.mpg ,255.38,,
6192, NASAWF-TheFourForcesOfFlight.mpg ,234.27,,
6193, NASAWF-Thrust.mpg ,59.23,,
6194, NASAWF-ThrustExperiment.mpg ,99.11,,
6195, NASAWF-WingSize.mpg ,198.52,,
6196, NASAWF-TheMysteriousRedLight.mpg ,2540.41,,
6197, NASAWF-HistoryOfVolcanoes.mpg ,60.85,,
6198, NASAWF-JetStream.mpg ,67.38,,
6199, NASAWF-LightPhotonsRaysAndWaves.mpg ,118.27,,
6200, NASAWF-MirrorsLightAndIllusion.mpg ,227.44,,
6201, NASAWF-MirrorsReflectionAndRefraction.mpg ,122.14,,
6202, NASAWF-MoreOnLightWaves.mpg ,107.14,,
6203, NASAWF-PollutionAndSunlight.mpg ,207.24,,
6204, NASAWF-TypesOfVolcanoes.mpg ,54.28,,
6205, NASAWF-VisibleSpectrumAndColor.mpg ,82.49,,
6206, NASAWF-VolcanoEruptions.mpg ,79.76,,
6207, NASAWF-Winds.mpg ,142.92,,
6208, NASASF-ThePowerfulPulleys.mpg ,2541.06,,
6209, NASASF-Belaying.mpg ,76.77,,
6210, NASASF-CrashTestPulleys.mpg ,123.66,,
6211, NASASF-DesignSafetyAndHumanFactors.mpg ,185.6,,
6212, NASASF-Elevators.mpg ,106.03,,
6213, NASASF-ForceAndDistance.mpg ,193.42,,
6214, NASASF-GearsAndCompoundMachines.mpg ,186.84,,
6215, NASASF-PulleyWorkshop.mpg ,106.87,,
6216, NASASF-SimpleMachines.mpg ,172.72,,
6217, NASASF-SpaceShuttlePulley.mpg ,107.08,,
6218, NASASF-WorkAndEnergy.mpg ,119,,
6219, NASAWF-ThePhenomenalWeather.mpg ,2528.81,,
6220, NASAWF-AirPressure.mpg ,177.83,,
6221, NASAWF-Clouds.mpg ,140.36,,
6222, NASAWF-GIFTS.mpg ,133.34,,
6223, NASAWF-HistoryOfHurricanes.mpg ,89.81,,
6224, NASAWF-HurricaneEnergyAndCoriolisEffect.mpg ,149.25,,
6225, NASAWF-HurricaneFormation.mpg ,140.6,,
6226, NASAWF-HurricaneGame.mpg ,56.74,,
6227, NASAWF-HurricanePathsAndLandfall.mpg ,122.99,,
6228, NASAWF-HurricanePredictionAndWeatherSatellites.mpg ,334.5,,
6229, NASAWF-LIDAR.mpg ,114.49,,
6230, NASAWF-MoreAirPressureAndHurricanePrediction.mpg ,129.94,,
6231, NASAWF-WeatherReconnaissance.mpg ,158.06,,
6232, NASAWF-TheUnknownStink.mpg ,2513.67,,
6233, NASAWF-DataMatrix.mpg ,44.83,,
6234, NASAWF-ExperimentationAndVariables.mpg ,220.12,,
6235, NASAWF-HowFarSmellsTravel.mpg ,72.13,,
6236, NASAWF-HowSmellsTravel.mpg ,140.16,,
6237, NASAWF-HowWeSmell.mpg ,98.12,,
6238, NASAWF-ScientificMethod-DataCollectionAndVariables.mpg ,174.55,,
6239, NASAWF-ScientificMethod-HypothesisAndObservation.mpg ,210.02,,
6240, NASAWF-ScientificMethod-VariablesAndCategorizingData.mpg ,210.85,,
6241, NASAWF-SharkNoseAndUnderwaterSmell.mpg ,75.19,,
6242, NASAWF-WindDirection.mpg ,115.52,,
6255, NASAKSN-AuroraBorealis.mpg ,43.17,,
6256, NASAKSN-ElCieloAzul.mpg ,41.17,,
6257, NASAKSN-ElElectro-Imn.mpg ,43.36,,
6258, NASAKSN-ElMetro.mpg ,43.49,,
6259, NASAKSN-ElMovimiento.mpg ,43.6,,
6260, NASAKSN-ElPopcorn.mpg ,43.46,,
6261, NASAKSN-ElSonido.mpg ,46.53,,
6262, NASAKSN-LaEstatica.mpg ,43.49,,
6263, NASAKSN-LasBurbujas.mpg ,43.39,,
6264, NASAKSN-LosColoresDeLaHojas.mpg ,43.44,,
6265, NASAKSN-LosRayosElectricos.mpg ,43.42,,
6266, NASAKSN-LosHermanosWright.mpg ,43.39,,
6267, NASAConnect-TheATrainExpress.mpg ,1227.9,,
6274, NASAConnect-TheFutureOfFlightEquation.mpg ,1225.95,,
6281, NASAConnect-ProblemSolving-TheWrightMath.mpg ,1.2,,
6287, NASAConnect-HavingASolarBlast.mpg ,1.2,,
6293, NASAConnect-QuietingTheSkies.mpg ,1.19,,
6298, NASAConnect-Proportionality-ModelingTheFuture.mpg ,1.19,,
6304, NASAConnect-WiredForSpace.mpg ,1.2,,
6311, NASAConnect-FunctionsAndStatistics-InternationalSpaceStation-UpToUs.mpg ,1228.33,,
6318, NASAConnect-MeasurementRatiosAndGraphing-322Crash.mpg ,1228.2,,
6324, NASADT2.mpg ,1228.08,,
6330, NASADT3.mpg ,1229.43,,
6336, NASADT9.mpg ,1229.95,,
6342, NASADT12.mpg ,1229.07,,
6347, NASADT4.mpg ,1228.23,,
6353, NASASF-TheWrightInvention.mpg ,2530.84,,
6354, NASASF-Brainstorming.mpg ,178.15,,
6355, NASASF-Helios.mpg ,112.4,,
6356, NASASF-HistoryOfFlight.mpg ,67.08,,
6357, NASASF-InventionConcepts.mpg ,59.16,,
6358, NASASF-InventionMuseum.mpg ,94.33,,
6359, NASASF-Models.mpg ,93.12,,
6360, NASASF-NightVisibilityExperiment.mpg ,100.25,,
6361, NASASF-Patents.mpg ,67.7,,
6362, NASASF-ReflectiveMaterials.mpg ,107.92,,
6363, NASASF-Testing.mpg ,45.21,,
6364, NASASF-TheDesignProcess.mpg ,83.52,,
6365, NASASF-TheInventionProcess.mpg ,175.86,,
6366, NASASF-TheWrightBrothers.mpg ,99.84,,
6367, NASASF-TheShakyQuake.mpg ,2420.86,,
6368, NASASF-EarthquakeWaves.mpg ,121.94,,
6369, NASASF-Faults.mpg ,157.59,,
6370, NASASF-FossilsAndPlateTectonics.mpg ,198.64,,
6371, NASASF-GPS.mpg ,92.4,,
6372, NASASF-LayersOfTheEarth.mpg ,165.19,,
6373, NASASF-MeasuringEarthquakes.mpg ,125.69,,
6374, NASASF-Meteors.mpg ,93.4,,
6375, NASASF-MoreOnEarthquakes.mpg ,45.47,,
6376, NASASF-Seismographs.mpg ,96.66,,
6377, NASASF-Seismology.mpg ,106.8,,
6378, NASASF-TriangulationActivity.mpg ,117.11,,
6379, NASAWF-TheInhabitableHabitat.mpg ,2529.28,,
6395, NASADT15.mpg ,1227.27,,
6399, NASASF-TheRadicalRide.mpg ,2536.23,,
6400, NASASF-ConceptCars.mpg ,172.99,,
6401, NASASF-ControlledFlight.mpg ,98.77,,
6402, NASASF-EngineeringDesignProcess.mpg ,114.91,,
6403, NASASF-FutureOfTransportation.mpg ,67.91,,
6404, NASASF-HistoryOfTransportation.mpg ,158.81,,
6405, NASASF-Hovercraft.mpg ,91.31,,
6406, NASASF-ModelsAndTesting.mpg ,143.11,,
6407, NASASF-MouseTrapCarActivity.mpg ,136.11,,
6408, NASASF-PAVs.mpg ,163.42,,
6409, NASASF-TheChannelTunnel.mpg ,194.5,,
6410, NASASF-TheGalacticVacation.mpg ,2426.81,,
6411, NASASF-AreciboObservatory.mpg ,247.69,,
6412, NASASF-ForcesOfMotion.mpg ,181.21,,
6413, NASASF-FutureSpaceTravel.mpg ,100.23,,
6414, NASASF-ISSLife.mpg ,53.91,,
6415, NASASF-Mars.mpg ,130.68,,
6416, NASASF-MoonPhases.mpg ,154.34,,
6417, NASASF-ParallaxActivity.mpg ,141.42,,
6418, NASASF-PropulsionSystems.mpg ,121.13,,
6419, NASASF-Stars.mpg ,165.11,,
6420, NASASF-TheMoon.mpg ,110.02,,
6421, NASASF-TheUniverse.mpg ,158.38,,
6422, NASAWF-TheElectricalMystery.mpg ,2437.31,,
6460, NASAKSN-AguaEnMarte.mpg ,43.08,,
6461, NASAKSN-MarteRompiendoRecords.mpg ,43.13,,
6462, NASAKSN-UnAutoDeControlRemotoEnMarte.mpg ,43.19,,
6463, NASAKSN-LasPlantasEnElEspacio.mpg ,43.13,,
6464, NASAKSN-ElGasMasFrio.mpg ,43.13,,
6465, NASAKSN-ElCuerpoEnElEspacio.mpg ,43.13,,
6466, NASAKSN-ElNanotecnologia.mpg ,43.12,,
6467, NASAKSN-FlotandoEnElEspacio.mpg ,43.13,,
6468, NASAKSN-EnfermoEnElEspacio.mpg ,43.13,,
6469, NASAKSN-ReciclandoAguaEnElEspacio.mpg ,43.09,,
6470, NASAKSN-TiendasDeComidaEnElEspacio.mpg ,43.12,,
6471, NASAKSN-LaArenaEnElEspacio.mpg ,43.08,,
6472, NASAKSN-RelojesAtomicos.mpg ,43.13,,
6473, NASAKSN-CajaSelladaConGuantes.mpg ,42.73,,
6474, NASAKSN-LaEbullicionEnElEspacio.mpg ,43.12,,
6475, NASAKSN-LasFracciones.mpg ,43.12,,
6476, NASAKSN-ElCero.mpg ,43.12,,
6477, NASAKSN-LosNumerosNegativos.mpg ,43.13,,
6478, NASAKSN-LasZonasHorarias.mpg ,43.13,,
6479, NASAKSN-ElRuidoDeLosAviones.mpg ,43.12,,
6480, NASAKSN-CDs.mpg ,43.12,,
6481, NASAKSN-ElLimpiaparabrisas.mpg ,43.12,,
6482, NASAKSN-TunelDeViento.mpg ,43.12,,
6483, NASAKSN-ElInternet.mpg ,43.12,,
6484, NASAKSN-ElRatonDeComputadora.mpg ,43.13,,
6485, NASAKSN-VirusDeComputadora.mpg ,43.12,,
6486, NASAKSN-ElCorreroElectronico.mpg ,43.12,,
6487, NASAKSN-BitsYBytes.mpg ,43.12,,
6500, NASADT18.mpg ,1228.48,,
6505, NASAConnect-AncientObservatories.mpg ,1229.63,,
6510, NASAConnect-HiddenTreasures.mpg ,1218.52,,
6515, NASASF-TheTechnicalKnockout.mpg ,2533.61,,
6516, NASASF-Geocaching.mpg ,205.74,,
6517, NASASF-HowPilotsUseGPS.mpg ,93.84,,
6518, NASASF-VikingNavigation.mpg ,238.27,,
6519, NASASF-HowDoesGPSWork.mpg ,191.32,,
6520, NASASF-RadioWavesAndElectricity.mpg ,426.07,,
6521, NASASF-Magnetism.mpg ,481.35,,
6522, NASASF-TheSun.mpg ,160.93,,
6523, NASASF-SolarFlaresAndOtherSunActivity.mpg ,313.77,,
6524, NASASF-SpaceWeather.mpg ,346.73,,
6525, NASADT16.mpg ,1199.33,,
6529, NASADT17.mpg ,1213.93,,
6533, NASADT20.mpg ,1228.81,,
6538, NASAConnect-GoodStress.mpg ,1226.59,,
6544, NASAConnect-RocketToTheStars.mpg ,1229.62,,
6549, NASASF-TheOceanOdyssey.mpg ,2540.8,,
6550, NASASF-TidesAndWaves.mpg ,138.06,,
6551, NASASF-Oceans.mpg ,108.13,,
6552, NASASF-DensityCurrent.mpg ,114.25,,
6553, NASASF-SurfaceCurrent.mpg ,191.4,,
6554, NASASF-VelocityOfCurrent.mpg ,116.33,,
6555, NASASF-Oil.mpg ,116.53,,
6556, NASASF-OilExplorationAndProduction.mpg ,99.96,,
6557, NASASF-OceanTopology.mpg ,129.6,,
6558, NASASF-OceanPressure.mpg ,77.64,,
6559, NASASF-OilCleanUp.mpg ,84.52,,
6560, NASASF-ImpactOfAnOilSpill.mpg ,151.55,,
6561, NASASF-CoastalCurrents.mpg ,111.14,,
6562, NASASF-TheZanyAnimalAntics.mpg ,2543.54,,
6563, NASASF-AnimalKingdom.mpg ,773.21,,
6564, NASASF-ReproductionMigrationAndBasicNeeds.mpg ,569.95,,
6565, NASASF-AnimalPopulationsAndHabitats.mpg ,536.34,,
6566, NASASF-EndangeredSpecies.mpg ,658.73,,
6567, NASASF-TheGreatSpaceExploration.mpg ,2542.99,,
6568, NASASF-RoboticMissionsAndMaterialsUsedInSpace.mpg ,549.11,,
6569, NASASF-DietExerciseAndLongTermSpaceTravel.mpg ,692.91,,
6570, NASASF-RadiationSpacecraftMaterialsAndPropulsion.mpg ,743.44,,
6571, NASASF-SpaceInnovationsAndSimulations.mpg ,554.46,,
6572, NASAConnect-TheRightRatioOfRest-ProportionalReasoning.mpg ,1227.79,,
,,,,